UniqueID,Date,format_Date,Sys start,Tree,comp_start_time,comp_end_time,format_comp_start_time,format_comp_end_time,Real start,Real end,Soil temp,Vwc1 (m3/m3),Vwc2,Vwc3,Vwc4,Vwc5,Vwc_avg,Rep_vol_L
45434_unknown1,5/22/2024,5/22/2024,4:01 PM,unknown1,16:01:48,16:06:15,16:01:48,16:06:15,15:10:32,15:14:59,,,,,,,0,10
45434_427,5/22/2024,5/22/2024,,427,16:07:55,16:10:47,16:07:55,16:10:47,15:16:39,15:19:31,,,,,,,0,20
45434_unknown2,5/22/2024,5/22/2024,,unknown2,16:12:26,16:16:08,16:12:26,16:16:08,15:21:10,15:24:52,,,,,,,0,30
45434_unknown3,5/22/2024,5/22/2024,,unknown3,16:15:34,16:18:37,16:15:34,16:18:37,15:24:18,15:27:21,,,,,,,0,2
45436_411,5/24/2024,5/24/2024,10:57 AM,411,10:57:45,11:00:47,10:57:45,11:00:47,10:06:43,10:09:45,22.2,0.222,0.218,0.204,,,0.215,100
45436_412,5/24/2024,5/24/2024,,412,11:05:33,11:08:34,11:05:33,11:08:34,10:14:31,10:17:32,23.5,0.365,0.532,0.282,,,0.393,20
45436_413,5/24/2024,5/24/2024,,413,11:09:15,11:12:32,11:09:15,11:12:32,10:18:13,10:21:30,25,0.247,0.635,0.162,,,0.348,20
45436_4,5/24/2024,5/24/2024,,4,11:13:56,11:16:57,11:13:56,11:16:57,10:22:54,10:25:55,25.4,0.459,0.392,0.46,,,0.437,20
45436_432,5/24/2024,5/24/2024,,432,11:18:51,11:21:52,11:18:51,11:21:52,10:27:49,10:30:50,25.4,0.511,0.302,0.459,,,0.424,20
45436_433,5/24/2024,5/24/2024,,433,11:23:32,11:26:53,11:23:32,11:26:53,10:32:30,10:35:51,25.1,0.458,0.582,0.175,,,0.405,20
45436_414,5/24/2024,5/24/2024,,414,11:29:19,11:33:03,11:29:19,11:33:03,10:38:17,10:42:01,25,0.263,0.211,0.493,,,0.322,20
45436_435,5/24/2024,5/24/2024,,435,14:36:32,14:39:33,14:36:32,14:39:33,13:45:30,13:48:31,26.9,0.403,0.568,0.259,,,0.41,20
45436_436,5/24/2024,5/24/2024,,436,14:40:09,14:43:10,14:40:09,14:43:10,13:49:07,13:52:08,26.9,0.162,0.216,0.265,,,0.214,20
45436_438,5/24/2024,5/24/2024,,438,14:44:53,14:48:16,14:44:53,14:48:16,13:53:51,13:57:14,26.9,0.215,0.254,0.115,,,0.195,20
45436_417,5/24/2024,5/24/2024,,417,14:50:03,14:53:05,14:50:03,14:53:05,13:59:01,14:02:03,27.2,0.311,0.213,0.218,,,0.247,20
45436_418,5/24/2024,5/24/2024,,418,14:54:23,14:57:23,14:54:23,14:57:23,14:03:21,14:06:21,28.2,0.206,0.21,0.389,,,0.268,20
45436_434,5/24/2024,5/24/2024,,434,14:58:46,15:02:23,14:58:46,15:02:23,14:07:44,14:11:21,28.6,0.535,0.488,0.395,,,0.473,20
45436_419,5/24/2024,5/24/2024,,419,15:03:29,15:06:46,15:03:29,15:06:46,14:12:27,14:15:44,28.1,0.451,0.063,0.369,,,0.294,20
45436_420,5/24/2024,5/24/2024,,420,15:07:51,15:10:51,15:07:51,15:10:51,14:16:49,14:19:49,28.2,0.193,0.207,0.229,,,0.21,20
45436_421,5/24/2024,5/24/2024,,421,15:11:24,15:14:51,15:11:24,15:14:51,14:20:22,14:23:49,28.3,0.249,0.472,0.188,,,0.303,20
45436_441,5/24/2024,5/24/2024,,441,15:16:35,15:19:48,15:16:35,15:19:48,14:25:33,14:28:46,29.3,0.443,0.226,0.563,,,0.411,20
45436_439,5/24/2024,5/24/2024,,439,15:21:16,15:24:24,15:21:16,15:24:24,14:30:14,14:33:22,29.3,0.231,0.209,0.198,,,0.213,20
45436_422,5/24/2024,5/24/2024,,422,15:25:44,15:28:44,15:25:44,15:28:44,14:34:42,14:37:42,29.3,0.324,0.429,0.524,,,0.426,20
45436_425,5/24/2024,5/24/2024,,425,15:32:06,15:35:15,15:32:06,15:35:15,14:41:04,14:44:13,28.2,0.205,0.157,0.21,,,0.191,20
45436_423,5/24/2024,5/24/2024,,423,15:36:03,15:39:06,15:36:03,15:39:06,14:45:01,14:48:04,29.1,0.556,0.254,0.248,,,0.353,20
45436_424,5/24/2024,5/24/2024,,424,15:39:52,15:42:57,15:39:52,15:42:57,14:48:50,14:51:55,28.6,0.192,0.044,0.332,,,0.189,20
45436_426,5/24/2024,5/24/2024,,426,15:43:38,15:46:39,15:43:38,15:46:39,14:52:36,14:55:37,28.6,0.211,0.205,0.276,,,0.231,20
45436_442,5/24/2024,5/24/2024,,442,15:48:06,15:51:07,15:48:06,15:51:07,14:57:04,15:00:05,29,0.196,0.199,0.595,,,0.33,20
45436_427,5/24/2024,5/24/2024,,427,15:52:04,15:55:17,15:52:04,15:55:17,15:01:02,15:04:15,28,0.226,0.224,0.221,,,0.224,20
45436_428,5/24/2024,5/24/2024,,428,15:56:18,15:59:29,15:56:18,15:59:29,15:05:16,15:08:27,28.5,0.583,0.255,0.263,,,0.367,20
45436_429,5/24/2024,5/24/2024,,429,16:00:48,16:04:21,16:00:48,16:04:21,15:09:46,15:13:19,27.7,0.341,0.191,0.327,,,0.286,20
45436_431,5/24/2024,5/24/2024,,431,16:05:24,16:08:33,16:05:24,16:08:33,15:14:22,15:17:31,27.3,0.569,0.612,0.711,,,0.631,20
45436_443,5/24/2024,5/24/2024,,443,16:10:02,16:13:11,16:10:02,16:13:11,15:19:00,15:22:09,27.3,0.212,0.406,0.203,,,0.274,20
45436_444,5/24/2024,5/24/2024,,444,16:14:07,16:17:09,16:14:07,16:17:09,15:23:05,15:26:07,27.5,0.265,0.8,0.686,,,0.584,20
45448_895,6/5/2024,6/5/2024,10:37 AM,895,10:37:29,10:40:49,10:37:29,10:40:49,9:45:41,9:49:01,22.7,0.188,0.302,0.428,0.353,0.279,0.31,20
45448_892,6/5/2024,6/5/2024,,892,10:41:44,10:44:54,10:41:44,10:44:54,9:49:56,9:53:06,21.7,0.422,0.414,0.392,0.318,0.197,0.349,20
45448_889,6/5/2024,6/5/2024,,889,10:45:25,10:48:39,10:45:25,10:48:39,9:53:37,9:56:51,21.1,0.263,0.203,0.238,0.118,0.206,0.206,20
45448_880,6/5/2024,6/5/2024,,880,10:49:16,10:52:26,10:49:16,10:52:26,9:57:28,10:00:38,20.6,0.253,0.307,0.416,0.136,0.23,0.268,20
45448_893,6/5/2024,6/5/2024,,893,10:52:49,10:55:53,10:52:49,10:55:53,10:01:01,10:04:05,20.5,0.29,0.345,0.334,0.455,0.46,0.377,20
45448_905,6/5/2024,6/5/2024,,905,10:56:57,11:00:03,10:56:57,11:00:03,10:05:09,10:08:15,20.3,0.269,0.333,0.248,0.244,0.177,0.254,20
45448_903,6/5/2024,6/5/2024,,903,11:00:24,11:03:54,11:00:24,11:03:54,10:08:36,10:12:06,20.1,0.369,0.262,0.379,0.362,0.259,0.326,20
45448_876,6/5/2024,6/5/2024,,876,11:04:24,11:07:38,11:04:24,11:07:38,10:12:36,10:15:50,20.1,0.244,0.39,0.223,0.23,0.15,0.247,20
45448_380,6/5/2024,6/5/2024,,380,11:22:37,11:26:35,11:22:37,11:26:35,10:30:49,10:34:47,22.2,0.28,0.232,0.328,0.334,0.355,0.306,20
45448_386,6/5/2024,6/5/2024,,386,11:27:10,11:32:00,11:27:10,11:32:00,10:35:22,10:40:12,23.7,0.253,0.245,0.298,0.343,0.204,0.269,20
45448_583,6/5/2024,6/5/2024,,583,11:32:58,11:36:12,11:32:58,11:36:12,10:41:10,10:44:24,23.8,0.141,0.216,0.302,0.213,0.223,0.219,20
45448_288,6/5/2024,6/5/2024,,288,11:37:14,11:40:24,11:37:14,11:40:24,10:45:26,10:48:36,23.5,0.433,0.517,0.508,0.299,0.185,0.388,20
45448_351,6/5/2024,6/5/2024,,351,11:56:04,11:59:16,11:56:04,11:59:16,11:04:16,11:07:28,21.8,0.361,0.328,0.308,0.224,0.362,0.317,20
45448_217,6/5/2024,6/5/2024,,217,11:59:47,12:03:00,11:59:47,12:03:00,11:07:59,11:11:12,22.7,0.221,0.255,0.357,0.253,0.217,0.261,20
45448_356,6/5/2024,6/5/2024,,356,12:03:28,12:06:32,12:03:28,12:06:32,11:11:40,11:14:44,23,0.278,0.427,0.437,0.401,0.319,0.372,20
45448_362,6/5/2024,6/5/2024,,362,12:06:55,12:09:57,12:06:55,12:09:57,11:15:07,11:18:09,23.2,0.424,0.407,0.337,0.463,0.428,0.412,20
45448_366,6/5/2024,6/5/2024,,366,12:10:14,12:13:16,12:10:14,12:13:16,11:18:26,11:21:28,24.4,0.249,0.409,0.353,0.348,0.32,0.336,20
45448_678,6/5/2024,6/5/2024,,678,12:17:07,12:20:08,12:17:07,12:20:08,11:25:19,11:28:20,26.2,0.542,0.537,0.513,0.444,0.164,0.44,20
45448_677,6/5/2024,6/5/2024,,677,12:20:24,12:23:30,12:20:24,12:23:30,11:28:36,11:31:42,25.8,0.278,0.365,0.296,0.369,0.367,0.335,20
45448_529,6/5/2024,6/5/2024,,529,12:26:28,12:29:59,12:26:28,12:29:59,11:34:40,11:38:11,25.5,0.493,0.425,0.454,0.41,0.313,0.419,20
45448_544,6/5/2024,6/5/2024,,544,12:30:40,12:33:57,12:30:40,12:33:57,11:38:52,11:42:09,25,0.433,0.415,0.404,0.363,0.311,0.385,20
45448_318,6/5/2024,6/5/2024,,318,12:36:19,12:39:38,12:36:19,12:39:38,11:44:31,11:47:50,25.1,0.105,0.109,0.044,0.18,0.186,0.125,20
45448_309,6/5/2024,6/5/2024,,309,12:40:22,12:43:42,12:40:22,12:43:42,11:48:34,11:51:54,24.9,0.266,0.389,0.393,0.406,0.296,0.35,20
45448_302,6/5/2024,6/5/2024,,302,12:44:43,12:47:44,12:44:43,12:47:44,11:52:55,11:55:56,24.7,0.154,0.062,0.222,0.23,0.182,0.17,20
45448_933,6/5/2024,6/5/2024,,933,14:30:14,14:33:24,14:30:14,14:33:24,13:38:26,13:41:36,29.6,0.547,0.51,0.44,0.43,0.705,0.526,20
45448_236,6/5/2024,6/5/2024,,236,14:34:06,14:37:40,14:34:06,14:37:40,13:42:18,13:45:52,28,0.34,0.493,0.538,0.4,0.245,0.403,20
45448_175,6/5/2024,6/5/2024,,175,14:38:23,14:41:23,14:38:23,14:41:23,13:46:35,13:49:35,27.3,0.421,0.281,0.405,0.45,0.53,0.417,20
45448_153,6/5/2024,6/5/2024,,153,14:42:08,14:45:27,14:42:08,14:45:27,13:50:20,13:53:39,27.2,0.497,0.284,0.465,0.26,0.439,0.389,20
45448_176,6/5/2024,6/5/2024,,176,14:45:59,14:48:59,14:45:59,14:48:59,13:54:11,13:57:11,27.6,0.458,0.416,0.249,0.243,0.253,0.324,20
45448_165,6/5/2024,6/5/2024,,165,14:49:38,14:52:54,14:49:38,14:52:54,13:57:50,14:01:06,27.3,0.477,0.405,0.243,0.424,0.45,0.4,20
45448_411,6/5/2024,6/5/2024,,411,15:10:10,15:13:10,15:10:10,15:13:10,14:18:22,14:21:22,29.9,0.139,0.175,0.261,0.168,0.26,0.201,20
45448_412,6/5/2024,6/5/2024,,412,15:13:43,15:16:43,15:13:43,15:16:43,14:21:55,14:24:55,29.3,0.553,0.455,0.458,0.492,0.493,0.49,20
45448_413,6/5/2024,6/5/2024,,413,15:17:10,15:20:11,15:17:10,15:20:11,14:25:22,14:28:23,28.9,0.589,0.517,0.447,0.513,0.577,0.529,20
45448_4,6/5/2024,6/5/2024,,4,15:20:47,15:23:48,15:20:47,15:23:48,14:28:59,14:32:00,28.2,0.418,0.447,0.447,0.395,0.432,0.428,20
45448_432,6/5/2024,6/5/2024,,432,15:25:21,15:28:21,15:25:21,15:28:21,14:33:33,14:36:33,28.3,0.2,0.431,0.374,0.391,0.07,0.293,20
45448_433,6/5/2024,6/5/2024,,433,15:28:41,15:31:47,15:28:41,15:31:47,14:36:53,14:39:59,28.2,0.248,0.154,0.415,0.282,0.399,0.3,20
45448_414,6/5/2024,6/5/2024,,414,15:33:16,15:36:35,15:33:16,15:36:35,14:41:28,14:44:47,28.8,0.724,0.567,0.91,0.465,0.42,0.617,20
45448_434,6/5/2024,6/5/2024,,434,15:37:05,15:40:06,15:37:05,15:40:06,14:45:17,14:48:18,28.6,0.436,0.499,0.49,0.425,0.496,0.469,20
45450_435,6/7/2024,6/7/2024,10:37:30,435,10:37:30,10:40:34,10:37:30,10:40:34,9:45:46,9:48:50,21.5,0.445,0.83,0.436,0.695,0.795,0.64,20
45450_436,6/7/2024,6/7/2024,,436,10:42:00,10:45:37,10:42:00,10:45:37,9:50:16,9:53:53,20.9,0.236,0.263,0.346,0.61,0.738,0.439,20
45450_438,6/7/2024,6/7/2024,,438,10:46:28,10:49:33,10:46:28,10:49:33,9:54:44,9:57:49,21.7,0.247,0.172,0.202,0.311,0.236,0.234,20
45450_417,6/7/2024,6/7/2024,,417,10:50:47,10:53:58,10:50:47,10:53:58,9:59:03,10:02:14,22.1,0.229,0.23,0.272,0.279,0.147,0.231,20
45450_418,6/7/2024,6/7/2024,,418,10:54:14,10:58:07,10:54:14,10:58:07,10:02:30,10:06:23,22.2,0.174,0.271,0.113,0.197,0.073,0.166,20
45450_419,6/7/2024,6/7/2024,,419,10:58:53,11:02:38,10:58:53,11:02:38,10:07:09,10:10:54,23.9,0.228,0.325,0.182,0.326,0.286,0.269,20
45450_420,6/7/2024,6/7/2024,,420,11:03:00,11:06:03,11:03:00,11:06:03,10:11:16,10:14:19,25,0.167,0.274,0.333,0.452,0.474,0.34,20
45450_421,6/7/2024,6/7/2024,,421,11:06:33,11:09:34,11:06:33,11:09:34,10:14:49,10:17:50,24.8,0.116,0.223,0.381,0.338,0.362,0.284,20
45450_439,6/7/2024,6/7/2024,,439,11:10:56,11:14:15,11:10:56,11:14:15,10:19:12,10:22:31,25,0.238,0.223,0.144,0.172,0.146,0.185,20
45450_441,6/7/2024,6/7/2024,,441,11:15:06,11:18:35,11:15:06,11:18:35,10:23:22,10:26:51,24,0.257,0.356,0.429,0.167,0.237,0.289,20
45450_422,6/7/2024,6/7/2024,,422,11:21:23,11:24:23,11:21:23,11:24:23,10:29:39,10:32:39,23.9,0.337,0.411,0.506,0.399,0.294,0.389,20
45450_423,6/7/2024,6/7/2024,,423,11:25:08,11:28:11,11:25:08,11:28:11,10:33:24,10:36:27,23,0.321,0.255,0.426,0.246,0.29,0.308,20
45450_425,6/7/2024,6/7/2024,,425,11:28:50,11:31:54,11:28:50,11:31:54,10:37:06,10:40:10,25.7,0.251,0.405,0.268,0.145,0.076,0.229,20
45450_424,6/7/2024,6/7/2024,,424,11:32:12,11:35:12,11:32:12,11:35:12,10:40:28,10:43:28,23,0.174,0.244,0.366,0.369,0.16,0.263,20
45450_426,6/7/2024,6/7/2024,,426,11:35:59,11:39:03,11:35:59,11:39:03,10:44:15,10:47:19,23.2,0.256,0.375,0.202,0.357,0.45,0.328,20
45450_427,6/7/2024,6/7/2024,,427,11:39:45,11:42:46,11:39:45,11:42:46,10:48:01,10:51:02,23.4,0.185,0.29,0.266,0.403,0.413,0.311,20
45450_428,6/7/2024,6/7/2024,,428,11:43:30,11:46:43,11:43:30,11:46:43,10:51:46,10:54:59,24.2,0.276,0.371,0.47,0.225,0.1,0.288,20
45450_429,6/7/2024,6/7/2024,,429,11:47:49,11:50:56,11:47:49,11:50:56,10:56:05,10:59:12,24.2,0.333,0.459,0.363,0.291,0.161,0.321,20
45450_431,6/7/2024,6/7/2024,,431,11:51:37,11:54:38,11:51:37,11:54:38,10:59:53,11:02:54,24.4,0.227,0.768,0.591,0.743,0.34,0.534,20
45450_443,6/7/2024,6/7/2024,,443,11:55:48,11:59:12,11:55:48,11:59:12,11:04:04,11:07:28,25.9,0.267,0.17,0.335,0.134,0.177,0.217,20
45450_444,6/7/2024,6/7/2024,,444,11:59:52,12:03:05,11:59:52,12:03:05,11:08:08,11:11:21,25.2,0.279,0.526,0.385,0.38,0.652,0.444,20
45450_442,6/7/2024,6/7/2024,,442,12:04:25,12:07:32,12:04:25,12:07:32,11:12:41,11:15:48,23.9,0.379,0.385,0.365,0.268,0.263,0.332,20
45453_351,6/10/2024,6/10/2024,10:20 AM,351,10:20:00,10:23:08,10:20:00,10:23:08,9:28:10,9:31:18,19.3,0.36,0.255,0.413,0.477,0.156,0.332,20
45453_217,6/10/2024,6/10/2024,,217,10:23:45,10:26:53,10:23:45,10:26:53,9:31:55,9:35:03,18.1,0.238,0.217,0.19,0.367,0.462,0.295,20
45453_356,6/10/2024,6/10/2024,,356,10:27:22,10:30:31,10:27:22,10:30:31,9:35:32,9:38:41,17.8,0.471,0.554,0.565,0.493,0.426,0.502,20
45453_362,6/10/2024,6/10/2024,,362,10:31:07,10:34:08,10:31:07,10:34:08,9:39:17,9:42:18,17.2,0.497,0.502,0.457,0.5,0.243,0.44,20
45453_366,6/10/2024,6/10/2024,,366,10:34:36,10:37:44,10:34:36,10:37:44,9:42:46,9:45:54,17.1,0.39,0.281,0.229,0.388,0.469,0.351,20
45453_677,6/10/2024,6/10/2024,,677,10:39:59,10:43:02,10:39:59,10:43:02,9:48:09,9:51:12,16.9,0.361,0.273,0.301,0.428,0.473,0.367,20
45453_678,6/10/2024,6/10/2024,,678,10:43:24,10:46:28,10:43:24,10:46:28,9:51:34,9:54:38,17,0.533,0.599,0.574,0.581,0.555,0.568,20
45453_529,6/10/2024,6/10/2024,,529,10:49:09,10:52:14,10:49:09,10:52:14,9:57:19,10:00:24,16.6,0.387,0.495,0.392,0.463,0.447,0.437,20
45453_544,6/10/2024,6/10/2024,,544,10:52:45,10:55:47,10:52:45,10:55:47,10:00:55,10:03:57,17,0.406,0.268,0.484,0.446,0.363,0.393,20
45453_318,6/10/2024,6/10/2024,,318,10:57:44,11:00:52,10:57:44,11:00:52,10:05:54,10:09:02,17.1,0.242,0.15,0.208,0.21,0.22,0.206,20
45453_309,6/10/2024,6/10/2024,,309,11:01:28,11:04:28,11:01:28,11:04:28,10:09:38,10:12:38,17.9,0.472,0.382,0.374,0.4,0.468,0.419,20
45453_302,6/10/2024,6/10/2024,,302,11:05:24,11:08:27,11:05:24,11:08:27,10:13:34,10:16:37,18,0.268,0.141,0.242,0.223,0.216,0.218,20
45453_933,6/10/2024,6/10/2024,,933,11:10:46,11:14:13,11:10:46,11:14:13,10:18:56,10:22:23,17.6,0.507,0.578,0.482,0.455,0.36,0.476,20
45453_236,6/10/2024,6/10/2024,,236,11:14:53,11:18:01,11:14:53,11:18:01,10:23:03,10:26:11,17.3,0.471,0.425,0.357,0.355,0.452,0.412,20
45453_165,6/10/2024,6/10/2024,,165,11:18:50,11:21:52,11:18:50,11:21:52,10:27:00,10:30:02,17.7,0.324,0.296,0.496,0.41,0.38,0.381,20
45453_175,6/10/2024,6/10/2024,,175,11:22:16,11:25:21,11:22:16,11:25:21,10:30:26,10:33:31,18.4,0.444,0.486,0.496,0.444,0.468,0.468,20
45453_153,6/10/2024,6/10/2024,,153,11:25:45,11:29:06,11:25:45,11:29:06,10:33:55,10:37:16,19,0.477,0.387,0.477,0.217,0.283,0.368,20
45453_176,6/10/2024,6/10/2024,,176,11:29:53,11:33:12,11:29:53,11:33:12,10:38:03,10:41:22,19.3,0.526,0.238,0.437,0.271,0.371,0.369,20
45453_288,6/10/2024,6/10/2024,,288,11:37:21,11:40:21,11:37:21,11:40:21,10:45:31,10:48:31,18.3,0.261,0.481,0.457,0.345,0.469,0.403,20
45453_583,6/10/2024,6/10/2024,,583,11:41:39,11:44:41,11:41:39,11:44:41,10:49:49,10:52:51,18.4,0.175,0.237,0.206,0.328,0.213,0.232,20
45453_380,6/10/2024,6/10/2024,,380,11:45:29,11:48:45,11:45:29,11:48:45,10:53:39,10:56:55,18.9,0.248,0.446,0.392,0.387,0.272,0.349,20
45453_386,6/10/2024,6/10/2024,,386,11:49:16,11:52:18,11:49:16,11:52:18,10:57:26,11:00:28,19.1,0.286,0.263,0.251,0.33,0.251,0.276,20
45453_895,6/10/2024,6/10/2024,,895,11:59:56,12:03:02,11:59:56,12:03:02,11:08:06,11:11:12,20.7,0.207,0.21,0.355,0.332,0.432,0.307,20
45453_892,6/10/2024,6/10/2024,,892,12:03:20,12:06:23,12:03:20,12:06:23,11:11:30,11:14:33,20.3,0.27,0.23,0.243,0.205,0.417,0.273,20
45453_889,6/10/2024,6/10/2024,,889,12:06:58,12:10:12,12:06:58,12:10:12,11:15:08,11:18:22,19.8,0.159,0.226,0.238,0.314,0.233,0.234,20
45453_880,6/10/2024,6/10/2024,,880,12:10:28,12:13:32,12:10:28,12:13:32,11:18:38,11:21:42,19.4,0.361,0.393,0.298,0.218,0.512,0.356,20
45453_893,6/10/2024,6/10/2024,,893,12:13:43,12:16:43,12:13:43,12:16:43,11:21:53,11:24:53,19.5,0.475,0.478,0.473,0.493,0.468,0.477,20
45453_876,6/10/2024,6/10/2024,,876,12:17:18,12:20:19,12:17:18,12:20:19,11:25:28,11:28:29,19.1,0.241,0.207,0.249,0.217,0.191,0.221,20
45453_905,6/10/2024,6/10/2024,,905,12:20:49,12:23:51,12:20:49,12:23:51,11:28:59,11:32:01,19,0.344,0.238,0.305,0.196,0.16,0.249,20
45453_903,6/10/2024,6/10/2024,,903,12:24:03,12:27:09,12:24:03,12:27:09,11:32:13,11:35:19,19.3,0.387,0.288,0.259,0.478,0.468,0.376,20
45453_411,6/10/2024,6/10/2024,,411,14:06:15,14:09:16,14:06:15,14:09:16,13:14:25,13:17:26,26.5,0.259,0.212,0.225,0.173,0.166,0.207,20
45453_413,6/10/2024,6/10/2024,,413,14:10:03,14:13:03,14:10:03,14:13:03,13:18:13,13:21:13,25.6,0.176,0.456,0.368,0.496,0.615,0.422,20
45453_412,6/10/2024,6/10/2024,,412,14:13:23,14:16:26,14:13:23,14:16:26,13:21:33,13:24:36,24.3,0.242,0.244,0.356,0.248,0.384,0.295,20
45453_4,6/10/2024,6/10/2024,,4,14:17:42,14:20:50,14:17:42,14:20:50,13:25:52,13:29:00,23.8,0.374,0.458,0.55,0.435,0.373,0.438,20
45453_432,6/10/2024,6/10/2024,,432,14:21:50,14:25:06,14:21:50,14:25:06,13:30:00,13:33:16,24.6,0.121,0.123,0.483,0.302,0.504,0.307,20
45453_433,6/10/2024,6/10/2024,,433,14:26:22,14:29:36,14:26:22,14:29:36,13:34:32,13:37:46,23.3,0.234,0.409,0.605,0.436,0.371,0.411,20
45453_414,6/10/2024,6/10/2024,,414,14:30:48,14:34:27,14:30:48,14:34:27,13:38:58,13:42:37,22.5,0.527,0.744,0.548,0.454,0.237,0.502,20
45453_436,6/10/2024,6/10/2024,,436,14:35:31,14:38:33,14:35:31,14:38:33,13:43:41,13:46:43,22.6,0.334,0.259,0.39,0.214,0.378,0.315,20
45453_438,6/10/2024,6/10/2024,,438,14:39:04,14:42:04,14:39:04,14:42:04,13:47:14,13:50:14,22.3,0.084,0.272,0.168,0.326,0.374,0.245,20
45453_435,6/10/2024,6/10/2024,,435,14:42:45,14:45:45,14:42:45,14:45:45,13:50:55,13:53:55,22.2,0.395,0.31,0.565,0.68,0.79,0.548,20
45453_434,6/10/2024,6/10/2024,,434,14:46:32,14:49:33,14:46:32,14:49:33,13:54:42,13:57:43,22.2,0.203,0.296,0.28,0.203,0.2,0.236,20
45453_418,6/10/2024,6/10/2024,,418,14:50:11,14:53:12,14:50:11,14:53:12,13:58:21,14:01:22,22.7,0.232,0.257,0.369,0.244,0.083,0.237,20
45453_417,6/10/2024,6/10/2024,,417,14:53:25,14:56:26,14:53:25,14:56:26,14:01:35,14:04:36,23.6,0.284,0.234,0.241,0.277,0.213,0.25,20
45453_419,6/10/2024,6/10/2024,,419,14:57:11,15:00:12,14:57:11,15:00:12,14:05:21,14:08:22,22.5,0.224,0.08,0.353,0.417,0.213,0.257,20
45453_420,6/10/2024,6/10/2024,,420,15:00:38,15:03:49,15:00:38,15:03:49,14:08:48,14:11:59,23.5,0.085,0.201,0.066,0.185,0.353,0.178,20
45453_421,6/10/2024,6/10/2024,,421,15:04:18,15:07:18,15:04:18,15:07:18,14:12:28,14:15:28,23.9,0.23,0.39,0.067,0.193,0.302,0.236,20
