Plot,Tag,Old tag,depth1,depth2,depth3,depth4,average,radius,Volume_cylinder,Volume_cap,Volume_tubes,Volume (cm3),Volume
BGS,412,1,3.7,4.3,3.3,4.1,3.85,5.08,312.1318071,19.79203372,28.88,360.8038408,0.3608038408
BGS,411,2,4.8,4.9,4.8,4.7,4.8,5.08,389.1513439,19.79203372,28.88,437.8233777,0.4378233777
BGS,413,3,3.3,3.1,3.6,4.4,3.6,5.08,291.863508,19.79203372,28.88,340.5355417,0.3405355417
BGS,452,4,5,5,5.5,5.5,5.25,5.08,425.6342824,19.79203372,28.88,474.3063162,0.4743063162
BGS,432,5,5.9,5.5,5.5,5.2,5.525,5.08,447.9294115,19.79203372,28.88,496.6014452,0.4966014452
BGS,433,6,5.3,5,5,5.3,5.15,5.08,417.5269628,19.79203372,28.88,466.1989965,0.4661989965
BGS,434.00000,7,3.5,3.6,4.4,3.6,3.775,5.08,306.0513174,19.79203372,28.88,354.7233511,0.3547233511
BGS,418,8,3.6,3.6,4.4,4.4,4,5.08,324.2927866,19.79203372,28.88,372.9648203,0.3729648203
BGS,417,9,5.1,4.9,5.5,5.2,5.175,5.08,419.5537927,19.79203372,28.88,468.2258264,0.4682258264
BGS,423,10,4.7,4.2,4.1,5,4.5,5.08,364.829385,19.79203372,28.88,413.5014187,0.4135014187
BGS,425,11,4.2,4,4.4,4.6,4.3,5.08,348.6147456,19.79203372,28.88,397.2867793,0.3972867793
BGS,426,12,3.6,4,3.4,3.2,3.55,5.08,287.8098481,19.79203372,28.88,336.4818818,0.3364818818
BGS,442,13,3.5,3.4,4.8,4.4,4.025,5.08,326.3196165,19.79203372,28.88,374.9916503,0.3749916503
BGS,427,14,3.2,2.7,4,4.6,3.625,5.08,293.8903379,19.79203372,28.88,342.5623716,0.3425623716
BGS,428.00000,15,4.9,5.1,5.3,5.8,5.275,5.08,427.6611124,19.79203372,28.88,476.3331461,0.4763331461
BGS,429,16,3.1,2.9,4.4,4.3,3.675,5.08,297.9439977,19.79203372,28.88,346.6160314,0.3466160314
BGS,431,18,3,2.9,4.3,4,3.55,5.08,287.8098481,19.79203372,28.88,336.4818818,0.3364818818
BGS,444,19,4.8,4.8,5,4.9,4.875,5.08,395.2318337,19.79203372,28.88,443.9038674,0.4439038674
BGS,443,20,3.7,3.8,5.6,4.1,4.3,5.08,348.6147456,19.79203372,28.88,397.2867793,0.3972867793
BGS,424,21,3.2,3,4.5,4.4,3.775,5.08,306.0513174,19.79203372,28.88,354.7233511,0.3547233511
BGS,422,23,3.5,3.5,5.7,4,4.175,5.08,338.480596,19.79203372,28.88,387.1526298,0.3871526298
BGS,439,24,4.8,4.9,5.4,4.7,4.95,5.08,401.3123234,19.79203372,28.88,449.9843572,0.4499843572
BGS,441,25,5.6,5.5,5,5.1,5.3,5.08,429.6879423,19.79203372,28.88,478.359976,0.478359976
BGS,421,26,3.4,3.4,4.2,4.4,3.85,5.08,312.1318071,19.79203372,28.88,360.8038408,0.3608038408
BGS,420,27,3.5,3.1,4.9,4.8,4.075,5.08,330.3732764,19.79203372,28.88,379.0453101,0.3790453101
BGS,419,28,3.5,3.7,4.4,4.5,4.025,5.08,326.3196165,19.79203372,28.88,374.9916503,0.3749916503
BGS,435,29,3.2,3.3,4.5,3.9,3.725,5.08,301.9976575,19.79203372,28.88,350.6696913,0.3506696913
BGS,436,30,2.9,3.2,3.9,3.3,3.325,5.08,269.5683789,19.79203372,28.88,318.2404126,0.3182404126
BGS,438,31,3.2,3.1,4.5,4.4,3.8,5.08,308.0781473,19.79203372,28.88,356.750181,0.356750181
BGS,414,32,4,3.6,4,4.6,4.05,5.08,328.3464465,19.79203372,28.88,377.0184802,0.3770184802
C1,217,,3.6,3.6,3,3.1,3.325,5.08,269.5683789,19.79203372,28.88,318.2404126,0.3182404126
C1,351,,5,4.9,5.2,5,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
C1,356,,4.9,4,5.3,5.1,4.825,5.08,391.1781739,19.79203372,28.88,439.8502076,0.4398502076
C1,362,,5.2,5.2,4.9,4.8,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
C1,366,,5,5.2,5,5.1,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067
C2,380,,4.5,3.8,2.9,3,3.55,5.08,287.8098481,19.79203372,28.88,336.4818818,0.3364818818
C2,386,,5.2,5,4.8,4.4,4.85,5.08,393.2050038,19.79203372,28.88,441.8770375,0.4418770375
D1,529,,5.2,5.3,5.2,4.9,5.15,5.08,417.5269628,19.79203372,28.88,466.1989965,0.4661989965
D1,544,,3.5,3.1,3.9,3.8,3.575,5.08,289.836678,19.79203372,28.88,338.5087118,0.3385087118
D2,288,,3.2,3.2,3.9,3.8,3.525,5.08,285.7830182,19.79203372,28.88,334.4550519,0.3344550519
D2,583,,2.8,2.6,3.9,3.9,3.3,5.08,267.541549,19.79203372,28.88,316.2135827,0.3162135827
E1,677,,5,4.9,5.2,4.7,4.95,5.08,401.3123234,19.79203372,28.88,449.9843572,0.4499843572
E1,678,,3.4,3.3,4.4,3.7,3.7,5.08,299.9708276,19.79203372,28.88,348.6428613,0.3486428613
E5,876,,5.1,4.9,5,4.9,4.975,5.08,403.3391534,19.79203372,28.88,452.0111871,0.4520111871
E5,880,,5.7,5.3,5.3,5.2,5.375,5.08,435.768432,19.79203372,28.88,484.4404657,0.4844404657
E5,889,,4.9,4.6,4.9,5,4.85,5.08,393.2050038,19.79203372,28.88,441.8770375,0.4418770375
E5,892,,5,4.9,5.8,5,5.175,5.08,419.5537927,19.79203372,28.88,468.2258264,0.4682258264
E5,893,,4.9,5,5.2,5.4,5.125,5.08,415.5001329,19.79203372,28.88,464.1721666,0.4641721666
E5,895,,2.8,2.5,3.5,3.5,3.075,5.08,249.3000797,19.79203372,28.88,297.9721134,0.2979721134
E5,903,,4.8,5.1,5,4.8,4.925,5.08,399.2854935,19.79203372,28.88,447.9575272,0.4479575272
E5,905,,3.6,3.6,4.2,4.2,3.9,5.08,316.185467,19.79203372,28.88,364.8575007,0.3648575007
F1,236,,3.1,3,4,4,3.525,5.08,285.7830182,19.79203372,28.88,334.4550519,0.3344550519
F1,933,,5.3,4.9,5,5,5.05,5.08,409.4196431,19.79203372,28.88,458.0916768,0.4580916768
G1,153,,5.2,5.3,5.3,5.2,5.25,5.08,425.6342824,19.79203372,28.88,474.3063162,0.4743063162
G1,165,,5,4.6,5.2,5.3,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
G1,175,,5.5,5,5.4,5.4,5.325,5.08,431.7147722,19.79203372,28.88,480.3868059,0.4803868059
G1,176,,5,4.9,5.1,5.1,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
H1,302,,4.9,5,5.2,5.2,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067
H1,309,,5,4.9,5.1,5.3,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067
H1,318,,4.8,4.9,4,3.8,4.375,5.08,354.6952354,19.79203372,28.88,403.3672691,0.4033672691